tank,time,meaneggs,n,pred,para
23,7,0.428571429,7,0.1,metsch
23,8,0.6,20,0.1,metsch
24,1,1.142857143,7,0.1,metsch
24,2,0,1,0.1,metsch
24,3,0.814814815,27,0.1,metsch
24,4,0.15,20,0.1,metsch
24,5,0.823529412,17,0.1,metsch
24,6,1,20,0.1,metsch
24,7,1.15625,32,0.1,metsch
24,8,1.05,20,0.1,metsch
27,1,0,1,0.5,no metsch
27,2,0.916666667,12,0.5,no metsch
27,3,0.05,20,0.5,no metsch
27,4,0.5,20,0.5,no metsch
27,5,0.428571429,7,0.5,no metsch
27,6,0.8,20,0.5,no metsch
27,7,0.3,20,0.5,no metsch
27,8,0,16,0.5,no metsch
28,1,1.833333333,12,0.5,no metsch
28,2,1.538461538,13,0.5,no metsch
28,3,0.7,20,0.5,no metsch
28,4,0.388888889,18,0.5,no metsch
28,5,0.75,20,0.5,no metsch
28,6,0.65,20,0.5,no metsch
28,7,.,0,0.5,no metsch
28,8,1.105263158,19,0.5,no metsch
29,1,1.727272727,11,0.5,no metsch
29,2,2,3,0.5,no metsch
29,3,0.75,20,0.5,no metsch
29,4,0.466666667,15,0.5,no metsch
29,5,0,11,0.5,no metsch
29,6,0.85,20,0.5,no metsch
29,7,0.9,20,0.5,no metsch
29,8,0.5,20,0.5,no metsch
30,1,1,8,0.1,metsch
30,2,0.333333333,3,0.1,metsch
30,3,0.6,20,0.1,metsch
30,4,1.15,20,0.1,metsch
30,5,0.5,20,0.1,metsch
30,6,0.722222222,18,0.1,metsch
30,7,1.9,20,0.1,metsch
30,8,0.55,20,0.1,metsch
31,1,0.2,10,0.1,metsch
31,2,0.769230769,13,0.1,metsch
31,3,0.4,20,0.1,metsch
31,4,0.7,20,0.1,metsch
31,5,0.9,20,0.1,metsch
31,6,0.95,20,0.1,metsch
31,7,1,13,0.1,metsch
31,8,2.15,20,0.1,metsch
32,1,0.25,4,0.1,metsch
32,2,.,0,0.1,metsch
32,3,0.2,20,0.1,metsch
32,4,0.583333333,12,0.1,metsch
32,5,0.6,5,0.1,metsch
32,6,0.85,20,0.1,metsch
32,7,0.85,20,0.1,metsch
32,8,0.75,16,0.1,metsch
35,1,0.833333333,12,0,no metsch
35,2,0.5,2,0,no metsch
35,3,0.111111111,9,0,no metsch
35,4,0.888888889,18,0,no metsch
35,5,0.3,20,0,no metsch
35,6,0.45,20,0,no metsch
35,7,0.7,20,0,no metsch
35,8,0.4,20,0,no metsch
36,1,0.666666667,9,0,no metsch
36,2,0,5,0,no metsch
36,3,0,20,0,no metsch
36,4,0.85,20,0,no metsch
36,5,1.35,20,0,no metsch
36,6,0.75,20,0,no metsch
36,7,0.375,16,0,no metsch
36,8,0,3,0,no metsch
37,1,0.625,16,0,no metsch
37,2,0,2,0,no metsch
37,3,0.333333333,6,0,no metsch
37,4,1.15,20,0,no metsch
37,5,1.9,20,0,no metsch
37,6,0.3,20,0,no metsch
37,7,0.35,20,0,no metsch
37,8,0.357142857,14,0,no metsch
38,1,0.857142857,7,0.5,metsch
38,2,0.6,10,0.5,metsch
38,3,0.1,20,0.5,metsch
38,4,1,20,0.5,metsch
38,5,0.5,20,0.5,metsch
38,6,0.35,20,0.5,metsch
38,7,0.85,20,0.5,metsch
38,8,0.2,20,0.5,metsch
39,1,1.666666667,3,0.5,metsch
39,2,1.416666667,12,0.5,metsch
39,3,1.125,16,0.5,metsch
39,4,0,2,0.5,metsch
39,5,0.157894737,19,0.5,metsch
39,6,0.5,20,0.5,metsch
39,7,0.45,20,0.5,metsch
39,8,0.55,20,0.5,metsch
40,1,1.5,4,0.5,metsch
40,2,1.75,4,0.5,metsch
40,3,0.9,20,0.5,metsch
40,4,0.3,20,0.5,metsch
40,5,1.15,20,0.5,metsch
40,6,1.45,20,0.5,metsch
40,7,0.7,20,0.5,metsch
40,8,0.55,20,0.5,metsch
41,1,5.666666667,3,1,no metsch
41,2,3,2,1,no metsch
41,3,.,0,1,no metsch
41,4,.,0,1,no metsch
41,5,.,0,1,no metsch
41,6,.,0,1,no metsch
41,7,2.65,20,1,no metsch
41,8,0.333333333,12,1,no metsch
42,1,5,6,1,no metsch
42,2,.,0,1,no metsch
42,3,2,1,1,no metsch
42,4,1,1,1,no metsch
42,5,.,0,1,no metsch
42,6,.,0,1,no metsch
42,7,.,0,1,no metsch
42,8,.,0,1,no metsch
43,1,4,1,1,no metsch
43,2,.,0,1,no metsch
43,3,.,0,1,no metsch
43,4,.,0,1,no metsch
43,5,.,0,1,no metsch
43,6,4,1,1,no metsch
43,7,1.75,4,1,no metsch
43,8,1,2,1,no metsch
44,1,0,2,0,metsch
44,2,.,0,0,metsch
44,3,0.545454545,11,0,metsch
44,4,1,13,0,metsch
44,5,0.125,8,0,metsch
44,6,0.625,8,0,metsch
44,7,0.857142857,14,0,metsch
44,8,1.9,10,0,metsch
45,1,.,0,0,metsch
45,2,0.5,14,0,metsch
45,3,0.45,20,0,metsch
45,4,1.9,20,0,metsch
45,5,0.857142857,14,0,metsch
45,6,0.7,10,0,metsch
45,7,0.9,20,0,metsch
45,8,0.95,20,0,metsch
46,1,1.166666667,6,0,metsch
46,2,0.642857143,14,0,metsch
46,3,0.473684211,19,0,metsch
46,4,0.6,20,0,metsch
46,5,0.75,20,0,metsch
46,6,0.6,20,0,metsch
46,7,0.181818182,11,0,metsch
46,8,0.95,20,0,metsch
47,1,0.5,2,0.1,no metsch
47,2,2,1,0.1,no metsch
47,3,0.9,20,0.1,no metsch
47,4,0,5,0.1,no metsch
47,5,0.090909091,11,0.1,no metsch
47,6,0.5,20,0.1,no metsch
47,7,0.375,16,0.1,no metsch
47,8,0.375,16,0.1,no metsch
48,1,0.714285714,7,0.1,no metsch
48,2,0.666666667,3,0.1,no metsch
48,3,0.25,4,0.1,no metsch
48,4,1.333333333,6,0.1,no metsch
48,5,4.5,2,0.1,no metsch
48,6,3.157894737,19,0.1,no metsch
48,7,1.333333333,3,0.1,no metsch
48,8,2.75,8,0.1,no metsch
49,1,0.5,6,0.1,no metsch
49,2,1.75,12,0.1,no metsch
49,3,0.333333333,18,0.1,no metsch
49,4,0.65,20,0.1,no metsch
49,5,0.941176471,17,0.1,no metsch
49,6,1.285714286,14,0.1,no metsch
49,7,0.277777778,18,0.1,no metsch
49,8,1.25,8,0.1,no metsch
50,1,0,2,1,metsch
50,2,.,0,1,metsch
50,3,.,0,1,metsch
50,4,2.833333333,6,1,metsch
50,5,1,5,1,metsch
50,6,1.083333333,12,1,metsch
50,7,0.538461538,13,1,metsch
50,8,0.65,20,1,metsch
51,1,.,0,1,metsch
51,2,.,0,1,metsch
51,3,2,1,1,metsch
51,4,5,1,1,metsch
51,5,.,0,1,metsch
51,6,1.857142857,14,1,metsch
51,7,0,8,1,metsch
51,8,0.5,4,1,metsch
52,1,.,0,1,metsch
52,2,.,0,1,metsch
52,3,5,1,1,metsch
52,4,9,1,1,metsch
52,5,3,15,1,metsch
52,6,0,10,1,metsch
52,7,2.5,2,1,metsch
52,8,1.421052632,19,1,metsch
