time,tank,pred,para,eggs
5,37,0,no metsch,1.9
6,37,0,no metsch,0.3
7,37,0,no metsch,0.35
8,37,0,no metsch,0.357142857
1,38,0.5,metsch,0.857142857
2,38,0.5,metsch,0.6
3,38,0.5,metsch,0.1
5,38,0.5,metsch,0.5
6,38,0.5,metsch,0.35
7,38,0.5,metsch,0.85
8,38,0.5,metsch,0.2
1,39,0.5,metsch,1.666666667
2,39,0.5,metsch,1.416666667
3,39,0.5,metsch,1.125
5,39,0.5,metsch,0.157894737
6,39,0.5,metsch,0.5
7,39,0.5,metsch,0.45
8,39,0.5,metsch,0.55
1,40,0.5,metsch,1.5
2,40,0.5,metsch,1.75
3,40,0.5,metsch,0.9
4,40,0.5,metsch,0.3
5,40,0.5,metsch,1.15
6,40,0.5,metsch,1.45
7,40,0.5,metsch,0.7
8,40,0.5,metsch,0.333333333
1,41,1,no metsch,5.666666667
2,41,1,no metsch,3
7,41,1,no metsch,2.65
8,41,1,no metsch,0.333333333
1,42,1,no metsch,5
3,42,1,no metsch,2
4,42,1,no metsch,1
1,43,1,no metsch,4
6,43,1,no metsch,4
7,43,1,no metsch,1.75
8,43,1,no metsch,1
1,44,0,metsch,0
3,44,0,metsch,0.545454545
4,44,0,metsch,1
5,44,0,metsch,0.125
6,44,0,metsch,0.625
7,44,0,metsch,0.857142857
8,44,0,metsch,1.9
2,45,0,metsch,0.5
3,45,0,metsch,0.45
5,45,0,metsch,0.857142857
6,45,0,metsch,0.7
7,45,0,metsch,0.9
8,45,0,metsch,0.95
1,46,0,metsch,1.166666667
2,46,0,metsch,0.642857143
3,46,0,metsch,0.473684211
5,46,0,metsch,0.75
6,46,0,metsch,0.6
7,46,0,metsch,0.181818182
8,46,0,metsch,0.95
1,47,0.1,no metsch,0.5
2,47,0.1,no metsch,2
3,47,0.1,no metsch,0.9
5,47,0.1,no metsch,0.090909091
6,47,0.1,no metsch,0.5
7,47,0.1,no metsch,0.375
8,47,0.1,no metsch,0.375
1,48,0.1,no metsch,0.714285714
2,48,0.1,no metsch,0.666666667
3,48,0.1,no metsch,0.25
5,48,0.1,no metsch,4.5
6,48,0.1,no metsch,3.157894737
7,48,0.1,no metsch,1.333333333
8,48,0.1,no metsch,2.75
1,49,0.1,no metsch,0.5
2,49,0.1,no metsch,1.75
3,49,0.1,no metsch,0.333333333
4,49,0.1,no metsch,0.941176471
5,49,0.1,no metsch,1.285714286
6,49,0.1,no metsch,0.277777778
7,49,0.1,no metsch,0.277777778
8,49,0.1,no metsch,1.25
1,50,1,metsch,0
5,50,1,metsch,1
6,50,1,metsch,1.083333333
7,50,1,metsch,0.538461538
8,50,1,metsch,0.65
3,51,1,metsch,2
6,51,1,metsch,1.857142857
7,51,1,metsch,0
8,51,1,metsch,0.5
3,52,1,metsch,5
5,52,1,metsch,3
6,52,1,metsch,0
7,52,1,metsch,2.5
8,52,1,metsch,1.421052632
