Parasites,predation,tank,week,Day,no.hosts.sampled,BD05.42,BD08.46,BD19.64,CB24.68,DW22.58,DW29.75,IL14.43,ML30.82,ML32.84
1,0,46,5,213,20,0,0,0,0,0,0,0,0.7,0.3
1,0,46,8,234,20,0,0,0,0,0,0,0,0.545454545,0.454545455
0,0.1,47,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,47,1,185,2,0,0,0,0.5,0,0,0,0,0.5
0,0.1,47,5,213,11,0,0,0,0,0,0.090909091,0.090909091,0.272727273,0.545454545
0,0.1,47,8,234,16,0,0,0,0.125,0,0,0.0625,0.3125,0.5
0,0.1,48,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,48,1,185,7,0,0.142857143,0,0,0.142857143,0,0.142857143,0.285714286,0.285714286
0,0.1,48,5,213,2,0,0,0,0,0,0,0,0.5,0.5
0,0.1,48,8,234,8,0,0.125,0,0,0,0,0,0.875,0
0,0.1,49,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,49,1,185,6,0,0,0.166666667,0.166666667,0,0.5,0.166666667,0,0
0,0.1,49,5,213,17,0.055555556,0.055555556,0.055555556,0,0,0.222222222,0,0.444444444,0.166666667
0,0.1,49,8,234,8,0,0,0,0.125,0,0,0.125,0.375,0.375
1,1,50,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,50,1,185,2,0,0,0,0.5,0,0,0,0.5,0
1,1,50,5,213,5,0,0.2,0.2,0,0,0,0,0.2,0.4
1,1,50,8,234,20,0,0.05,0,0,0,0.05,0,0.5,0.4
1,1,51,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,51,8,234,4,0,1,0,0,0,0,0,0,0
1,1,52,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,52,5,213,15,0,0.733333333,0,0.266666667,0,0,0,0,0
1,1,52,8,234,19,0,0.263157895,0,0.736842105,0,0,0,0,0
